2018-10-17 8:31:35 - PHP Unknown:  Function mcrypt_create_iv() is deprecated in /Applications/MAMP/htdocs/shoppy/upload/system/library/so_social/Facebook/PseudoRandomString/McryptPseudoRandomStringGenerator.php on line 57
2018-10-17 8:32:32 - PHP Unknown:  Function mcrypt_create_iv() is deprecated in /Applications/MAMP/htdocs/shoppy/upload/system/library/so_social/Facebook/PseudoRandomString/McryptPseudoRandomStringGenerator.php on line 57
2018-10-17 8:32:41 - PHP Unknown:  Function mcrypt_create_iv() is deprecated in /Applications/MAMP/htdocs/shoppy/upload/system/library/so_social/Facebook/PseudoRandomString/McryptPseudoRandomStringGenerator.php on line 57
2018-10-17 8:33:26 - PHP Unknown:  Function mcrypt_create_iv() is deprecated in /Applications/MAMP/htdocs/shoppy/upload/system/library/so_social/Facebook/PseudoRandomString/McryptPseudoRandomStringGenerator.php on line 57
2018-10-17 8:35:17 - PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/shoppy/upload/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4541
2018-10-17 8:35:22 - PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/shoppy/upload/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4541
2018-10-17 8:35:23 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/shoppy/upload/admin/controller/startup/error.php:34) in /Applications/MAMP/htdocs/shoppy/upload/system/library/response.php on line 36
2018-10-17 8:37:25 - PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/shoppy/upload/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4541
2018-10-17 8:37:29 - PHP Warning:  A non-numeric value encountered in /Applications/MAMP/htdocs/shoppy/upload/admin/view/template/extension/soconfig/class/scssphp/src/Compiler.php on line 4541
2018-10-17 8:37:30 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/shoppy/upload/admin/controller/startup/error.php:34) in /Applications/MAMP/htdocs/shoppy/upload/system/library/response.php on line 36
2018-10-17 8:39:31 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-25 1:43:36 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-25 1:43:39 - PHP Warning:  rmdir(/Applications/MAMP/htdocs/shoppy/storage/cache/so): Directory not empty in /Applications/MAMP/htdocs/shoppy/upload/admin/controller/common/developer.php on line 70
2018-10-26 4:18:22 - PHP Notice:  mysqli::__construct(): send of 113 bytes failed with errno=32 Broken pipe in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:18:22 - PHP Warning:  mysqli::__construct(): (HY000/2006): MySQL server has gone away in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 7
2018-10-26 4:18:22 - PHP Warning:  DB\MySQLi::__construct(): Couldn't fetch mysqli in /Applications/MAMP/htdocs/shoppy/upload/system/library/db/mysqli.php on line 10
